pas,valeur
160,432.33546
160,421.892378
160,409.390531
160,397.831106
160,388.380207
160,380.010019
160,380.642621
160,380.324398
160,364.145486
160,365.022938
160,353.724411
160,353.729836
160,353.138975
160,346.763932
160,349.493824
160,353.836827
160,342.894864
160,341.961286
160,291.633425
160,327.412177
160,328.404097
160,291.394707
160,390.860851
160,335.143851
160,338.850797
160,314.588396
160,345.542197
160,287.68791
160,365.319487
160,303.277999
160,296.23008
160,369.692606
160,276.924458
160,315.193759
160,296.902347
160,114.148783
165,931.883369
165,927.156592
165,904.551582
165,924.328351
165,935.958237
165,903.074043
165,930.30608
165,929.626987
165,922.78737
165,910.245873
165,915.755394
165,888.476721
165,896.038806
165,794.180307
165,786.140678
165,783.391256
165,774.929232
165,766.138845
165,693.465283
165,689.221314
165,685.106698
165,683.00264
165,680.865828
165,664.912325
165,595.498506
165,595.726472
165,584.660365
165,637.83228
165,638.115331
165,572.867828
165,577.144682
165,563.480337
165,563.258702
165,556.144486
165,550.045375
165,489.706955
165,529.730279
165,467.451641
165,471.592212
165,508.193362
165,470.086961
165,501.143474
165,461.014349
165,453.156077
165,454.147569
165,473.505969
165,478.501541
165,474.640469
165,467.485309
165,437.352681
165,449.612804
165,451.832128
165,451.364639
165,440.532966
165,424.638614
165,412.043944
165,402.779532
165,392.136544
165,395.147248
165,394.02485
165,378.455223
165,378.426247
165,372.90401
165,369.655512
165,367.475018
165,361.649166
165,364.293957
165,365.767861
165,356.406378
165,354.980639
165,311.148882
165,341.248985
165,342.497796
165,310.189627
165,398.878453
165,348.62092
165,351.767487
165,327.862051
165,355.85333
165,303.588782
165,372.7572
165,317.208518
165,310.073523
165,374.902628
165,405.622822
165,324.080485
165,302.55391
165,370.609992
165,344.829605
165,251.145159
170,931.294082
170,955.603475
170,932.185738
170,943.520908
170,955.101938
170,934.047054
170,938.29311
170,957.760953
170,935.615702
170,922.637755
170,927.540412
170,923.460704
170,921.663256
170,806.905973
170,799.369829
