K_receveuse,K_donneuse,principal,surplus,partage
400.0,583.3962264150944,91.69811320754718,0.19493727716478304,0.5474547929639363
400.0,595.9245283018868,97.96226415094338,0.21857073105233837,0.5501605857169836
400.0,608.4528301886793,104.22641509433964,0.24313619136801634,0.5528154982585747
400.0,620.9811320754717,110.49056603773585,0.2685835565923327,0.5554217636136797
400.0,633.5094339622642,116.7547169811321,0.29486588319729634,0.5579814690018359
400.0,646.0377358490566,123.01886792452831,0.32193914141230096,0.5604965681676599
400.0,658.566037735849,129.2830188679245,0.3497619936122618,0.5629688924471333
400.0,671.0943396226415,135.54716981132077,0.3782955928820897,0.5654001607207267
400.0,683.6226415094341,141.81132075471703,0.4075033996135744,0.5677919883839656
400.0,696.1509433962265,148.07547169811323,0.43735101425122735,0.5701458954487142
400.0,708.6792452830189,154.33962264150944,0.4678060245281799,0.572463313873542
400.0,721.2075471698113,160.60377358490564,0.49883786572807765,0.5747455942088999
400.0,733.7358490566038,166.8679245283019,0.5304176926778865,0.5769940116319157
400.0,746.2641509433963,173.13207547169816,0.5625182623235077,0.5792097714364443
400.0,758.7924528301887,179.39622641509436,0.5951138258685589,0.5813940140358056
400.0,771.3207547169811,185.66037735849056,0.6281800295687034,0.5835478195289836
400.0,783.8490566037735,191.92452830188677,0.6616938233726302,0.5856722118746974
400.0,796.377358490566,198.18867924528303,0.6956333766865441,0.5877681627129947
400.0,808.9056603773586,204.4528301886793,0.7299780006157732,0.589836594869079
400.0,821.433962264151,210.7169811320755,0.7647080761035738,0.5918783855704218
400.0,833.9622641509434,216.9811320754717,0.7998049874465849,0.5938943694046944
400.0,846.4905660377359,223.24528301886795,0.835251060719024,0.5958853410429971
400.0,859.0188679245283,229.50943396226415,0.8710295066840601,0.5978520577502001
400.0,871.5471698113208,235.7735849056604,0.9071243678119529,0.5997952417019775
400.0,884.0754716981132,242.03773584905662,0.9435204690616956,0.6017155821260662
400.0,896.6037735849056,248.30188679245282,0.9802033721152696,0.60361373728333
400.0,909.1320754716982,254.56603773584908,1.0171593327832937,0.6054903363027238
400.0,921.6603773584906,260.8301886792453,1.0543752613264559,0.6073459808829342
400.0,934.1886792452831,267.09433962264154,1.091838685461319,0.609181246871932
400.0,946.7169811320755,273.35849056603774,1.1295377158392412,0.6109966857348909
400.0,959.245283018868,279.622641509434,1.1674610138068502,0.6127928259196456
400.0,971.7735849056604,285.8867924528302,1.2055977612728057,0.6145701741281882
400.0,984.3018867924528,292.1509433962264,1.2439376325214155,0.6163292165017775
400.0,996.8301886792453,298.41509433962267,1.2824707678270642,0.6180704197265836
400.0,1009.3584905660377,304.6792452830189,1.321187748736186,0.6197942320661506
400.0,1021.8867924528303,310.94339622641513,1.3600795748944705,0.6215010843264113
400.0,1034.4150943396226,317.2075471698113,1.399137642307494,0.6231913907583881
