bras,taille,survie
new_g060,48.0,0.02359882005899705
new_g060,49.0,0.02190628173509357
new_g060,50.0,0.020455534600319125
new_g060,51.0,0.01871463803858986
new_g060,52.0,0.017457323855118667
new_g060,53.0,0.01668359204990566
new_g060,54.0,0.015474636104260364
new_g060,55.0,0.014362396634266639
new_g060,56.0,0.013540306591227846
new_g060,57.0,0.012379708883408336
new_g060,58.0,0.011219111175588714
new_g060,59.0,0.010590454083853174
new_g060,60.0,0.009768364040814381
new_g060,61.0,0.009091348711252945
new_g060,62.0,0.008559408095168974
new_g060,63.0,0.007882392765607649
new_g060,64.0,0.007302093911697893
new_g060,65.0,0.006963586246917175
new_g060,66.0,0.0063349291551816345
new_g060,67.0,0.005512839112142731
new_g060,68.0,0.005029256733884657
new_g060,69.0,0.004545674355626472
new_g060,70.0,0.004448957879974902
new_g060,71.0,0.0041104502151941835
new_g060,72.0,0.0038686590260650355
new_g060,73.0,0.003530151361284428
new_g060,74.0,0.003481793123458532
new_g060,75.0,0.00319164369650371
new_g060,76.0,0.0028047777938972063
new_g060,77.0,0.0024179118912907027
new_g060,78.0,0.002224478939987451
new_g060,79.0,0.0021277624643357695
new_g060,80.0,0.002031045988684199
new_g060,81.0,0.0018376130373809474
new_g060,82.0,0.0016925383239034808
new_g060,83.0,0.0016441800860776956
new_g060,84.0,0.0015474636104260142
new_g060,85.0,0.0014507471347744438
new_g060,86.0,0.0013056724212969772
new_g060,87.0,0.0012089559456452958
new_g060,88.0,0.001015522994342044
new_g060,89.0,0.0008704482808646885
new_g060,90.0,0.0008220900430387923
new_g060,91.0,0.0007253735673872219
new_g060,92.0,0.0006770153295614367
new_g060,93.0,0.0006286570917355405
new_g060,94.0,0.0005319406160839701
new_g060,95.0,0.00048358237825818495
new_g060,96.0,0.00038686590260650355
new_g060,97.0,0.00033850766478071836
new_g060,106.0,0.0002901494269549332
new_g060,107.0,0.00024179118912903697
new_g060,111.0,0.00019343295130325178
new_g060,113.0,9.67164756516814e-05
new_g060,116.0,4.835823782578519e-05
