steps,entities_total,alive_final,failures_total,mean_extraction_all,late_credit_tx,late_active_loans,late_loans_per_alive,late_financial_density,late_failures_per_step,late_alive_mean,late_credit_slope,late_loans_slope,late_failures_slope,late_alive_slope,hidden_fragility_total_final,hidden_fragility_ratio_final,mean_lifetime_failed,median_lifetime_failed,watched_count,rmst_full,survival_full,rmst_initial,survival_initial,rmst_born_later,survival_born_later,n_initial,n_born_later,late_cascades,late_secondary_share,late_secondary_per_fragile,late_mean_cascade_size,late_max_cascade_size,seed,theta,lambda_creation,n_candidats_pool,alpha_sigma_brownien,taux_amortissement,beta_late,hazard_late,n_star_pred,n_star_gap,loan_exit_late,hidden_fragility_ratio_geometric_pred,hidden_fragility_ratio_gap
400,900,748,152,8825.92076225,26.95,2457.435,3.633235554924966,0.2429383727333447,0.76,659.015,0.17807845196129904,13.666515412885323,0.011676291907297683,1.380152253806345,108299.48349738288,0.9050996137125679,264.74342105263156,260,125,351.8144233199682,0.5593178890788171,378.03846153846166,0.6923076923076925,343.44662797771804,0.42979315382144384,104,796,86,0.1118421052631579,0.1259259259259259,1.7674418604651163,5,36,0.35,2,3,0.005,0,0.040894365075150034,0.001153236269280669,1734.25,-986.25,0.011255632743028848,0.897796915980107,0.007302697732460839
400,910,837,73,8944.35573075,19.44,2086.495,2.9855067182282484,0.20793519131625537,0.365,678.26,0.12764419110477762,12.185844896122402,0.0052748818720468015,1.8786874671866796,105504.06182872655,0.8957489009240827,287.47945205479454,291,122,375.45252579119165,0.7412005454507572,385.8834951456311,0.8058252427184467,371.4050702340818,0.7037089728392925,103,807,53,0.0273972602739726,0.028169014084507043,1.3773584905660377,3,37,0.35,2,3,0.005,0,0.028661575207147703,0.000538141715566302,3716.4931506849316,-2879.4931506849316,0.009600238054113957,0.9116327400447057,-0.015883839120623078
400,802,582,220,7762.656135,32.56,2473.105,4.3468886822271635,0.2799536462766086,1.1,561.825,0.15389034725868148,10.567100427510688,0.012579314482862071,0.5299969999249982,96332.32306285808,0.8943504680958182,235.53636363636363,231,124,320.4453360470561,0.4511625505138032,376.1188118811881,0.6831683168316829,304.55103997872436,0.395259109231822,101,701,113,0.10909090909090909,0.12244897959183673,1.9469026548672566,6,38,0.35,2,3,0.005,0,0.05795398923152227,0.0019579050416054823,1021.4999999999999,-439.4999999999999,0.013332292006573557,0.8809606824150202,0.013389785680797961
400,900,663,237,8133.53101775,33.35,2747.205,4.469904084129753,0.28607651786796773,1.185,605.76,0.11395784894622366,11.370537013425336,0.009968499212480312,0.9504027600690017,106151.86150243798,0.9044001728894265,220.91139240506328,217,134,314.6036981610788,0.46242146613166313,364.7254901960784,0.6372549019607847,302.7047561163363,0.43870904915309406,102,798,132,0.11392405063291139,0.12857142857142856,1.7954545454545454,7,39,0.35,2,3,0.005,0,0.055054807184363445,0.0019562202852614896,1022.379746835443,-359.37974683544303,0.012316775963903504,0.8891230584037945,0.01527711448563207
400,896,642,254,7964.351054,35.525,2742.88,4.550556990607594,0.289753761024964,1.245,594.955,0.14466136653416337,10.991070276756918,0.011267531688292207,0.772665566639166,103671.39399262905,0.8883257166457882,220.5236220472441,212,115,309.18266695499204,0.4200110941382767,350.1188118811881,0.5742574257425739,299.092861218895,0.34298233544756307,101,795,139,0.11244979919678715,0.12669683257918551,1.79136690647482,6,40,0.35,2,3,0.005,0,0.05971039826541503,0.002092595238295333,955.7510040160643,-313.75100401606426,0.013121558171594824,0.8826435174923881,0.005682199153400069
400,922,454,468,6640.085177,49.665,3077.045,6.70070002827392,0.3473641162736786,2.04,459.195,0.04338483462086552,6.565745893647342,0.003874596864921623,0.011818045451136279,77483.45717424867,0.8832268051136353,152.95726495726495,135,124,225.68433365204334,0.24837935118802767,303.7722772277228,0.40594059405940547,212.73246253207904,0.22977140279456584,101,821,175,0.25735294117647056,0.3465346534653465,2.3314285714285714,7,31,0.35,2,4,0.005,0,0.10815666546891843,0.004442557083591938,450.1911764705883,3.808823529411711,0.016141099439244598,0.8590629203616309,0.024163884752004372
400,893,424,469,6429.1762055,47.85,3039.07,7.249346119278925,0.35768763490629285,1.955,419.73,-0.01549238730968274,5.262403060076502,-0.0015712892822320559,-0.09617940448511213,78988.77639532155,0.8562356751167015,149.8720682302772,128,124,219.39625304445656,0.2442896757083614,310.2475247524751,0.4950495049504946,202.37391689945423,0.18836642299132653,101,792,170,0.29923273657289,0.42700729927007297,2.3,6,32,0.35,2,4,0.005,0,0.11400185833750268,0.004657756176589712,429.3913043478261,-5.391304347826122,0.01572581257147123,0.862239444381826,-0.00600376926512447
400,834,394,440,6222.390799999999,44.69,2808.77,6.60270001145174,0.3426205310375994,1.845,426.37,0.026060151503787595,2.9103592589814746,0.0034898372459311482,-0.17042826070651768,66015.73856254538,0.8561003255642453,151.64318181818183,128,121,227.39574005150467,0.2482316380757929,315.0294117647061,0.46078431372549045,210.50107138374864,0.1997881330934082,102,732,170,0.23577235772357724,0.30851063829787234,2.1705882352941175,8,33,0.35,2,4,0.005,0,0.10481506672608297,0.004327227525388747,462.189701897019,-68.189701897019,0.015874576543579363,0.8610991623739627,-0.004998836809717355
400,885,434,451,6580.88701425,45.57,2958.515,6.833178008304843,0.34255113590324887,1.9,433.9,-0.010060751518787967,4.058028200705017,0.0007305182629565739,-0.1508692717317933,68245.1509894656,0.8660038119748157,152.92461197339247,134,121,228.20987686521553,0.2637246312812637,314.6442307692308,0.47115384615384664,212.25181400768486,0.23075170607918227,104,781,166,0.2394736842105263,0.314878892733564,2.289156626506024,6,34,0.35,2,4,0.005,0,0.10502419912422217,0.004378889144964277,456.7368421052632,-22.73684210526318,0.015369744355639332,0.8649796155673732,0.0010241964074424459
400,920,507,413,7170.396284,47.835,2986.725,6.043372605554072,0.3259012822177884,1.94,494.57,-0.05282757068926723,2.3169331733293332,-0.0007230180754518861,-0.09468086702167554,80377.58809108853,0.8778789977125666,168.39225181598064,154,130,249.89646226467096,0.29520397222058914,317.5346534653465,0.42574257425742534,238.74471906421164,0.2837346967737028,101,819,172,0.19845360824742267,0.24758842443729903,2.255813953488372,7,35,0.35,2,4,0.005,0,0.09672038336332572,0.003922599429807712,509.8659793814433,-2.86597938144331,0.016004372008179057,0.8601064549473059,0.017772542765260746
400,832,410,422,6261.40203575,46.715,2796.05,6.484049476734453,0.33922335298737694,1.88,431.94,0.034918622965574145,4.633939848496213,0.003877596939923498,-0.1184729618240456,65803.18160341596,0.8373531172486228,155.5521327014218,133,128,231.96841717481342,0.25627349011991507,318.38461538461553,0.45192307692307726,215.08407455074573,0.23155812151591793,104,728,166,0.2473404255319149,0.3286219081272085,2.2650602409638556,8,36,0.35,2,4,0.005,0,0.1081515951289531,0.004352456359679585,459.51063829787233,-49.51063829787233,0.01667963755011648,0.8549743952093808,-0.017621277960757964
400,913,468,445,6891.779435750001,51.075,3222.57,6.732745277082999,0.3400157512706354,2.045,477.955,0.09343958598964974,8.903294082352058,0.004049351233780844,0.09665716642916072,78611.78462953107,0.8755424974690247,164.21797752808988,144,118,237.93399309341387,0.24435383666251959,315.61165048543705,0.41747572815534006,223.7265448137312,0.15844655914687283,103,810,172,0.25183374083129584,0.3366013071895425,2.377906976744186,8,37,0.35,2,4,0.005,0,0.10686152462051868,0.00427864547917691,467.4376528117359,0.5623471882640843,0.01587190963309651,0.8611195808342789,0.01442291663474582
